,Title,details
168,Ready,action comedy aneesbazmee salmankhan asinthottumkal pareshrawal maheshmanjrekar set thailand india case mistaken identity leads love man family concoct grand scheme win hearts woman greedy conniving uncles 
169,Tanu Weds Manu,comedy drama romance aanandl rai madhavan kanganaranaut jimmysheirgill deepakdobriyal manu comes india find bride falls tanu first sight tanu free spirited girl plans marrying him 
170,Zindagi Na Milegi Dobara,comedy drama zoyaakhtar hrithikroshan farhanakhtar abhaydeol katrinakaif three friends decide turn fantasy vacation reality one friends gets engaged 
171,Ra.One,action adventure sci fi anubhavsinha shahrukhkhan arjunrampal kareenakapoor shahanagoswami titular antagonist action game takes physical form game less powerful protagonist save creator family 
172,The Best Exotic Marigold Hotel,comedy drama romance johnmadden judidench billnighy maggiesmith tomwilkinson british retirees travel india take residence believe newly restored hotel less luxurious advertised marigold hotel nevertheless slowly begins charm unexpected ways 
173,Don 2,action crime thriller farhanakhtar shahrukhkhan florianlukas ompuri priyankachopra turns escapes vardhaan prison following recruits team steal currency printing plates bank berlin 
174,Udaan,drama vikramadityamotwane rajatbarmecha ronitroy manjotsingh ramkapoor expelled school year old boy returns home abusive oppressive father 
175,Dabangg,action comedy abhinavkashyap salmankhan sonakshisinha sonusood arbaazkhan corrupt police officer faces challenges family gangsters politicians 
176,Band Baaja Baaraat,comedy drama romance maneeshsharma ranveersingh anushkasharma ranjitbatra manurishichadha shruti bittoo become partners wedding planning ka bijness delhi process discover friendship love one another 
177,Housefull,comedy sajidkhan akshaykumar deepikapadukone riteishdeshmukh laradutta believing jinxed man attempts find true love instead gets caught web lies 
178,Tees Maar Khan,comedy crime farahkhan akshaykumar katrinakaif akshayekhanna rajivlaxman posing movie producer conman attempts trick entire village helping rob treasure laden train 
179,Peepli (Live),comedy drama anusharizvi mahmoodfarooqui omkardasmanikpuri raghuviryadav shalinivatsa farrukhjaffar impoverished farmer threat end life invites attention politicians media 
180,Guzaarish,drama sanjayleelabhansali hrithikroshan aishwaryaraibachchan shernazpatel adityaroykapoor paralyzed magician turned radio jockey files petition court seeking permission end life 
181,Dhobi Ghat,drama kiranrao prateik monicadogra kritimalhotra aamirkhan lives four people intersect mumbai washer man wants become actor banker turned photographer painter looking inspiration newly married immigrant journals experiences home video 
182,Once Upon a Time in Mumbaai,action crime drama milanluthria ajaydevgn emraanhashmi kanganaranaut prachidesai smuggler rises power mumbai younger gangster seeks overthrow police officer caught middle 
183,Raajneeti,drama thriller prakashjha ajaydevgn ranbirkapoor nanapatekar arjunrampal american educated scion powerful indian family returns subcontinent first taste power starts corrupt path 
184,Kites,action drama romance anuragbasu rbaramori hrithikroshan kanganaranaut stevenmichaelquezada wounded man searches sweetheart mexican desert run police bounty hunters others 
185,My Name Is Khan,drama karanjohar shahrukhkhan kajol sheetalmenon katiea keane indian muslim man asperger syndrome takes challenge speak president united states seriously embarks cross country journey 
186,Paa,comedy drama balki amitabhbachchan abhishekbachchan vidyabalan pareshrawal father tries help son cope rare condition causes young boy age beyond years 
187,Rocket Singh: Salesman of the Year,comedy drama shimitamin ranbirkapoor premchopra mukeshbhatt santosh story fresh graduate trying find balance maddening demands professional way way heart 
188,Dev.D,comedy drama romance anuragkashyap abhaydeol mahiegill kalkikoechlin dibyendubhattacharya breaking childhood sweetheart young man finds solace drugs meanwhile teenage girl caught world prostitution destroyed find redemption 
189,Wake Up Sid,comedy drama romance ayanmukherjee ranbirkapoor konkonasensharma supriyapathak anupamkher spoiled young adult living mumbai experiences change lazy ways meets woman party inspires wake up 
190,Love Aaj Kal,comedy drama romance imtiazali saifalikhan deepikapadukone rishikapoor rahulkhanna old fashioned romantic tells personal love story modern man broken girlfriend love really ever changed 
191,Kaminey,action crime drama vishalbhardwaj shahidkapoor priyankachopra debmukherjee shivkumarsubramaniam desperate lives two estranged twin brothers converge missing drugs politics racial prejudice corrupt cops unplanned pregnancy 
192,Gulaal,crime drama thriller anuragkashyap kaykaymenon rajsinghchaudhary jesserandhawa deepakdobriyal law student witnesses deception homicide crime elected general secretary college 
193,Ajab Prem Ki Ghazab Kahani,action comedy romance rajkumarsantoshi ranbirkapoor katrinakaif darshanjariwala smitajaykar wacky adventures young man willing sacrifice love insure happiness others get girl of his dreams married boy of her dreams 
194,2012,action adventure sci fi rolandemmerich johncusack thandienewton chiwetelejiofor amandapeet frustrated writer struggles keep family alive series global catastrophes threatens annihilate mankind 
195,3 Idiots,comedy drama rajkumarhirani aamirkhan madhavan monasingh sharmanjoshi two friends searching long lost companion revisit college days recall memories friend inspired think differently even rest world called idiots 
196,Dragonball Evolution,action adventure fantasy jameswong justinchatwin jamesmarsters yun fatchow emmyrossum young warrior son goku sets quest racing time vengeful king piccolo collect set seven magical orbs grant wielder unlimited power 
197,Wanted,action thriller prabhudeva salmankhan ayeshatakia vinodkhanna govindnamdeo radhe ruthless gangster kill anyone money attracted towards jhanvi middle class girl approve work wants change 
198,Street Fighter: The Legend of Chun-Li,action crime thriller andrzejbartkowiak kristinkreuk nealmcdonough michaelclarkeduncan chrisklein teenager chun li witnesses kidnapping father wealthy crime lord bison grows up goes quest vengeance becomes famous crime fighter street fighter universe 
199,Oye Lucky! Lucky Oye!,comedy crime drama dibakarbanerjee abhaydeol pareshrawal neetuchandra archanapuransingh burglar reflects life loves media speculates managed pull many heists 
200,Avengers: Endgame,action adventure drama anthonyrusso joerusso robertdowneyjr chrisevans markruffalo chrishemsworth devastating events avengers infinity war universe ruins help remaining allies avengers assemble order reverse thanos actions restore balance universe 
201,The Lion King,animation adventure drama jonfavreau donaldglover beyonc sethrogen chiwetelejiofor murder father young lion prince flees kingdom learn true meaning responsibility bravery 
202,Toy Story 4,animation adventure comedy joshcooley tomhanks timallen anniepotts tonyhale new toy called forky joins woody gang road trip alongside old new friends reveals big world toy 
203,Frozen II,animation adventure comedy chrisbuck jenniferlee kristenbell idinamenzel joshgad jonathangroff anna elsa kristoff olaf sven leave arendelle travel ancient autumn bound forest enchanted land set find origin elsa powers order save kingdom 
204,Captain Marvel,action adventure sci fi annaboden ryanfleck brielarson samuell jackson benmendelsohn judelaw carol danvers becomes one universe powerful heroes earth caught middle galactic war two alien races 
205,Star Wars: Episode IX - The Rise of Skywalker,action adventure fantasy j abrams carriefisher markhamill adamdriver daisyridley surviving members resistance face first order again legendary conflict jedi sith reaches peak bringing skywalker saga end 
206,Spider-Man: Far from Home,action adventure sci fi jonwatts tomholland samuell jackson jakegyllenhaal marisatomei following events avengers endgame spider man must step take new threats world changed forever 
207,Aladdin,adventure family fantasy guyritchie willsmith menamassoud naomiscott marwankenzari kind hearted street urchin power hungry grand vizier vie magic lamp power make deepest wishes come true 
208,Joker,crime drama thriller toddphillips joaquinphoenix robertdeniro zaziebeetz francesconroy gotham city mentally troubled comedian arthur fleck disregarded mistreated society embarks downward spiral revolution bloody crime path brings face to face alter ego joker 
209,It Chapter Two,drama fantasy horror andymuschietti jessicachastain jamesmcavoy billhader isaiahmustafa twenty seven years first encounter terrifying pennywise losers club grown moved away devastating phone call brings back 
210,Jumanji: The Next Level,action adventure comedy jakekasdan dwaynejohnson jackblack kevinhart karengillan jumanji next level gang back game changed return rescue one own players brave parts unknown arid deserts snowy mountains escape world dangerous game 
211,Us,horror mystery thriller jordanpeele lupitanyong winstonduke elisabethmoss timheidecker family serene beach vacation turns chaos doppelg ngers appear begin terrorize them 
212,Fast & Furious Presents: Hobbs & Shaw,action adventure davidleitch dwaynejohnson jasonstatham idriselba vanessakirby lawman luke hobbs dwayne the rock johnson outcast deckard shaw jason statham form unlikely alliance cyber genetically enhanced villain threatens future humanity 
213,John Wick: Chapter 3 - Parabellum,action crime thriller chadstahelski keanureeves halleberry ianmcshane laurencefishburne john wick run killing member international assassins guild million price tag head target hit men women everywhere 
214,Once Upon a Time... in Hollywood,comedy drama quentintarantino leonardodicaprio bradpitt margotrobbie emilehirsch faded television actor stunt double strive achieve fame success film industry final years hollywood golden age los angeles 
215,Shazam!,action adventure comedy davidf sandberg zacharylevi markstrong asherangel jackdylangrazer newly fostered young boy search mother instead finds unexpected super powers soon gains powerful enemy 
216,Glass,drama sci fi thriller nightshyamalan jamesmcavoy brucewillis samuell jackson anyataylor joy security guard david dunn uses supernatural abilities track kevin wendell crumb disturbed man twenty four personalities 
217,Godzilla: King of the Monsters,action adventure fantasy michaeldougherty kylechandler verafarmiga milliebobbybrown kenwatanabe crypto zoological agency monarch faces battery god sized monsters including mighty godzilla collides mothra rodan ultimate nemesis three headed king ghidorah 
218,Ford v Ferrari,action biography drama jamesmangold mattdamon christianbale jonbernthal caitrionabalfe american car designer carroll shelby driver ken miles battle corporate interference laws physics personal demons build revolutionary race car ford challenge ferrari hours le mans 
219,The Lego Movie 2: The Second Part,animation action adventure mikemitchell chrispratt elizabethbanks willarnett tiffanyhaddish five years since everything awesome citizens facing huge new threat lego duplo invaders outer space wrecking everything faster rebuild 
220,Hustlers,comedy crime drama lorenescafaria constancewu jenniferlopez juliastiles mettetowley inspired viral new york magazine article hustlers follows crew savvy former strip club employees band together turn tables wall street clients 
221,Alita: Battle Angel,action adventure sci fi robertrodriguez rosasalazar christophwaltz jenniferconnelly mahershalaali deactivated cyborg revived cannot remember anything past life goes quest find is 
222,Good Boys,adventure comedy genestupnitsky jacobtremblay keithl williams bradynoon mollygordon three th grade boys ditch school embark epic journey carrying accidentally stolen drugs hunted teenage girls trying make way home time long awaited party 
223,Annabelle Comes Home,horror mystery thriller garydauberman verafarmiga patrickwilson mckennagrace madisoniseman babysitting daughter ed lorraine warren teenager friend unknowingly awaken evil spirit trapped doll 
224,Zombieland: Double Tap,action comedy horror rubenfleischer woodyharrelson jesseeisenberg emmastone abigailbreslin columbus tallahassee wichita little rock move american heartland face evolved zombies fellow survivors growing pains snarky makeshift family 
225,X-Men: Dark Phoenix,action adventure sci fi simonkinberg jamesmcavoy michaelfassbender jenniferlawrence nicholashoult jean grey begins develop incredible powers corrupt turn dark phoenix causing men decide life worth humanity 
226,Terminator: Dark Fate,action adventure sci fi timmiller lindahamilton arnoldschwarzenegger mackenziedavis nataliareyes augmented human sarah connor must stop advanced liquid terminator hunting young girl whose fate critical human race 
227,Escape Room,action adventure horror adamrobitel taylorrussell loganmiller jayellis tylerlabine six strangers find maze deadly mystery rooms must use wits survive 
228,Pet Sematary,horror mystery thriller kevink lsch denniswidmyer jasonclarke amyseimetz johnlithgow jet laurence dr louis creed wife rachel relocate boston rural maine two young children couple soon discover mysterious burial ground hidden deep woods near new home 
229,Ma,horror mystery thriller tatetaylor octaviaspencer dianasilvers juliettelewis mckaleymiller lonely woman befriends group teenagers decides let party house kids think luck get better things start happening make question intention host 
230,Doctor Sleep,drama fantasy horror mikeflanagan ewanmcgregor rebeccaferguson kylieghcurran cliffcurtis years following events the shining now adult dan torrance must protect young girl similar powers cult known true knot prey children powers remain immortal 
231,Long Shot,comedy romance jonathanlevine charlizetheron sethrogen junedianeraphael sheajacksonjr journalist fred flarsky reunites childhood crush charlotte field one influential women world prepares make run presidency charlotte hires fred speechwriter sparks fly 
232,Child's Play,horror sci fi larsklevberg timmatheson benandrusco daon zahraanderson sergejaswal mother gives year old son toy doll birthday unaware sinister nature 
233,Ready or Not,comedy horror mystery mattbettinelli olpin tylergillett samaraweaving adambrody marko brien henryczerny bride wedding night takes sinister turn eccentric new in laws force take part terrifying game 
234,Happy Death Day 2U,comedy horror mystery christopherlandon jessicarothe israelbroussard phivu surajsharma tree gelbman discovers dying surprisingly easier dangers lie ahead 
235,Midsommar,drama horror mystery ariaster florencepugh jackreynor vilhelmblomgren williamjacksonharper couple travels sweden visit rural hometown fabled mid summer festival begins idyllic retreat quickly devolves increasingly violent bizarre competition hands pagan cult 
236,Booksmart,comedy oliviawilde kaitlyndever beaniefeldstein jessicawilliams jasonsudeikis eve high school graduation two academic superstars best friends realize worked less played more determined fall short peers girls try cram four years fun one night 
237,Hellboy,action adventure fantasy neilmarshall davidharbour millajovovich ianmcshane sashalane based graphic novels mike mignola hellboy caught worlds supernatural human battles ancient sorceress bent revenge 
238,Brightburn,drama horror mystery davidyarovesky elizabethbanks daviddenman jacksona dunn abrahamclinkscales child another world crash landed earth instead becoming hero mankind proved something far sinister 
239,The Prodigy,horror thriller nicholasmccarthy taylorschilling jacksonrobertscott petermooney colmfeore mother concerned young son disturbing behavior thinks something supernatural may affecting him 
240,The Lighthouse,drama fantasy horror roberteggers robertpattinson willemdafoe valeriiakaraman two lighthouse keepers try maintain sanity living remote mysterious new england island 
241,Black Christmas,horror mystery thriller sophiatakal imogenpoots aleyseshannon lilydonoghue brittanyo grady group female students stalked stranger christmas break young sorority pledges discover killer part underground college conspiracy 
242,Jay and Silent Bob Reboot,comedy kevinsmith chrishemsworth mattdamon benaffleck melissabenoist jay silent bob return hollywood stop reboot bluntman chronic movie getting made 
243,3 from Hell,horror robzombie sherimoonzombie billmoseley sidhaig jeffdanielphillips barely surviving brutal police shootout demented firefly clan unleash whole new wave murder madness mayhem 
244,1917,drama war sammendes dean charleschapman georgemackay danielmays colinfirth two young british soldiers first world war given impossible mission deliver message deep enemy territory stop men one soldiers brothers walking straight deadly trap 
245,Black Panther,action adventure sci fi ryancoogler chadwickboseman michaelb jordan lupitanyong danaigurira challa heir hidden advanced kingdom wakanda must step forward lead people new future must confront challenger country past 
246,Avengers: Infinity War,action adventure sci fi anthonyrusso joerusso robertdowneyjr chrishemsworth markruffalo chrisevans avengers allies must willing sacrifice attempt defeat powerful thanos blitz devastation ruin puts end universe 
247,Incredibles 2,animation action adventure bradbird craigt nelson hollyhunter sarahvowell huckmilner incredibles hero family takes new mission involves change family roles bob parr mr incredible must manage house wife helen elastigirl goes save world 
248,Jurassic World: Fallen Kingdom,action adventure sci fi a bayona chrispratt brycedallashoward rafespall justicesmith island dormant volcano begins roaring life owen claire mount campaign rescue remaining dinosaurs extinction level event 
249,Deadpool 2,action adventure comedy davidleitch ryanreynolds joshbrolin morenabaccarin juliandennison foul mouthed mutant mercenary wade wilson k deadpool brings together team fellow mutant rogues protect young boy supernatural abilities brutal time traveling cyborg cable 
250,Dr. Seuss' The Grinch,animation family fantasy yarrowcheney scottmosier benedictcumberbatch cameronseely rashidajones pharrellwilliams grumpy grinch plots ruin christmas village whoville 
251,Mission: Impossible - Fallout,action adventure thriller christophermcquarrie tomcruise henrycavill vingrhames simonpegg ethan hunt imf team along familiar allies race time mission gone wrong 
252,Ant-Man and the Wasp,action adventure comedy peytonreed paulrudd evangelinelilly michaelpe waltongoggins scott lang balances superhero father hope van dyne dr hank pym present urgent new mission finds ant man fighting alongside wasp uncover secrets past 
253,Solo: A Star Wars Story,action adventure sci fi ronhoward aldenehrenreich woodyharrelson emiliaclarke donaldglover adventure criminal underworld han solo meets future co pilot chewbacca encounters lando calrissian years joining rebellion 
254,Venom,action sci fi thriller rubenfleischer tomhardy michellewilliams rizahmed scotthaze failed reporter bonded alien entity one many symbiotes invaded earth takes liking earth decides protect it 
255,A Star Is Born,drama music romance bradleycooper ladygaga bradleycooper samelliott greggrunberg musician helps young singer find fame age alcoholism send career downward spiral 
256,Aquaman,action adventure fantasy jameswan jasonmomoa amberheard willemdafoe patrickwilson arthur curry human born heir underwater kingdom atlantis goes quest prevent war worlds ocean land 
257,Bohemian Rhapsody,biography drama music bryansinger ramimalek lucyboynton gwilymlee benhardy story legendary british rock band queen lead singer freddie mercury leading famous performance live aid 
258,A Quiet Place,drama horror sci fi johnkrasinski emilyblunt johnkrasinski millicentsimmonds noahjupe post apocalyptic world family forced live silence hiding monsters ultra sensitive hearing 
259,Ralph Breaks the Internet,animation adventure comedy philjohnston richmoore johnc reilly sarahsilverman galgadot tarajip henson six years events wreck it ralph ralph vanellope friends discover wi fi router arcade leading new adventure 
260,Crazy Rich Asians,comedy drama romance jonm chu constancewu henrygolding michelleyeoh gemmachan contemporary romantic comedy based global bestseller follows native new yorker rachel chu singapore meet boyfriend family 
261,Hotel Transylvania 3: Summer Vacation,animation adventure comedy genndytartakovsky adamsandler andysamberg selenagomez kevinjames count dracula company participate cruise sea loving monsters unaware boat commandeered monster hating van helsing family 
262,Halloween,horror thriller davidgordongreen jamieleecurtis judygreer andimatichak jamesjudecourtney laurie strode confronts long time foe michael myers masked figure haunted since narrowly escaped killing spree halloween night four decades ago 
263,Fantastic Beasts: The Crimes of Grindelwald,adventure family fantasy davidyates eddieredmayne katherinewaterston danfogler johnnydepp second installment fantastic beasts series featuring adventures magizoologist newt scamander 
264,The Meg,action horror sci fi jonturteltaub jasonstatham bingbingli rainnwilson cliffcurtis group scientists exploring marianas trench encounter largest marine predator ever existed megalodon 
265,Ready Player One,action adventure sci fi stevenspielberg tyesheridan oliviacooke benmendelsohn lenawaithe creator virtual reality called oasis dies makes posthumous challenge oasis users find easter egg give finder fortune control world 
266,Mamma Mia! Here We Go Again,comedy musical romance olparker lilyjames amandaseyfried merylstreep cher five years events mamma mia sophie prepares grand reopening hotel bella donna learns mother past 
267,The Nun,horror mystery thriller corinhardy demi nbichir taissafarmiga jonasbloquet bonnieaarons priest haunted past novice threshold final vows sent vatican investigate death young nun romania confront malevolent force form demonic nun 
268,Peter Rabbit,adventure comedy family willgluck jamescorden fayssalbazzi domhnallgleeson sia feature adaptation beatrix potter classic tale rebellious rabbit trying sneak farmer vegetable garden 
269,Creed II,drama sport stevencaplejr michaelb jordan sylvesterstallone tessathompson phyliciarashad tutelage rocky balboa newly crowned heavyweight champion adonis creed faces viktor drago son ivan drago 
270,Mary Poppins Returns,comedy family fantasy robmarshall emilyblunt lin manuelmiranda benwhishaw emilymortimer decades original visit mary poppins emily blunt magical nanny returns help banks siblings michael ben whishaw children difficult time lives 
271,The Equalizer 2,action crime thriller antoinefuqua denzelwashington pedropascal ashtonsanders orsonbean robert mccall serves unflinching justice exploited oppressed far go someone loves 
272,Rampage,action adventure sci fi bradpeyton dwaynejohnson naomieharris malinakerman jeffreydeanmorgan three different animals become infected dangerous pathogen primatologist geneticist team stop destroying chicago 
273,A Wrinkle in Time,adventure family fantasy avaduvernay stormreid oprahwinfrey reesewitherspoon mindykaling disappearance scientist father three peculiar beings send meg brother friend space order find him 
274,Fifty Shades Freed,drama romance thriller jamesfoley dakotajohnson jamiedornan ericjohnson eloisemumford anastasia christian get married jack hyde continues threaten relationship 
275,Christopher Robin,adventure comedy drama marcforster ewanmcgregor hayleyatwell brontecarmichael markgatiss working class family man christopher robin encounters childhood friend winnie the pooh helps rediscover joys life 
276,Night School,comedy malcolmd lee kevinhart tiffanyhaddish robriggle romanymalco group high school dropouts forced attend night school hope they ll pass ged exam finish high school 
277,Bumblebee,action adventure sci fi travisknight haileesteinfeld jorgelendeborgjr johncena jasondrucker run year bumblebee finds refuge junkyard small california beach town cusp turning trying find place world charlie watson discovers bumblebee battle scarred broken 
278,The First Purge,action horror sci fi gerardmcmurray lannoel lexscottdavis joivanwade steveharris america third political party new founding fathers america comes power conducts experiment laws hours staten island one stay island given anyone does 
279,Game Night,action comedy crime johnfrancisdaley jonathangoldstein jasonbateman rachelmcadams kylechandler sharonhorgan group friends meet regularly game nights find entangled real life mystery shady brother one seemingly kidnapped dangerous gangsters 
280,Book Club,comedy drama romance billholderman dianekeaton janefonda candicebergen marysteenburgen four lifelong friends lives forever changed reading shades grey monthly book club 
281,The House with a Clock in Its Walls,comedy family fantasy eliroth jackblack cateblanchett owenvaccaro kylemaclachlan young orphan named lewis barnavelt aids magical uncle locating clock power bring end world 
282,Skyscraper,action adventure thriller rawsonmarshallthurber dwaynejohnson nevecampbell chinhan rolandm ller security expert must infiltrate burning skyscraper stories ground family trapped inside criminals 
283,Insidious: The Last Key,horror mystery thriller adamrobitel linshaye leighwhannell angussampson kirkacevedo parapsychologist dr elise rainier faces fearsome personal haunting yet drawn back ghostly childhood home terror began 
284,Blockers,comedy kaycannon lesliemann johncena ikebarinholtz kathrynnewton three parents try stop daughters losing virginity prom night 
285,Pacific Rim: Uprising,action adventure sci fi stevens deknight johnboyega scotteastwood caileespaeny burngorman jake pentecost son stacker pentecost reunites mako mori lead new generation jaeger pilots including rival lambert year old hacker amara new kaiju threat 
286,Tomb Raider,action adventure fantasy roaruthaug aliciavikander dominicwest waltongoggins danielwu lara croft fiercely independent daughter missing adventurer must push beyond limits discovers island father disappeared 
287,Maze Runner: The Death Cure,action adventure sci fi wesball dylano brien kihonglee kayascodelario thomasbrodie sangster young hero thomas embarks mission find cure deadly disease known the flare 
288,Tag,comedy jefftomsic jeremyrenner edhelms jakejohnson jonhamm small group former classmates organize elaborate annual game tag requires travel country 
289,The Nutcracker and the Four Realms,adventure family fantasy lassehallstr joejohnston mackenziefoy keiraknightley morganfreeman helenmirren young girl transported magical world gingerbread soldiers army mice 
290,A Simple Favor,comedy crime drama paulfeig annakendrick blakelively henrygolding andrewrannells stephanie single mother parenting vlog befriends emily secretive upper class woman child elementary school emily goes missing stephanie takes upon investigate 
291,Life of the Party,comedy benfalcone melissamccarthy mattwalsh mollygordon benfalcone husband abruptly asks divorce middle aged mother returns college order complete degree 
292,The Predator,action adventure sci fi shaneblack boydholbrook trevanterhodes jacobtremblay keegan michaelkey young boy accidentally triggers universe lethal hunters return earth ragtag crew ex soldiers disgruntled scientist prevent end human race 
293,Overboard,comedy romance robgreenberg eugenioderbez annafaris evalongoria johnhannah spoiled wealthy yacht owner thrown overboard loses memory mistreated employee convinces working class husband 
294,Sicario: Day of the Soldado,action crime drama stefanosollima beniciodeltoro joshbrolin isabelamerced jeffreydonovan drug war s mexico border escalated cartels begun trafficking terrorists across us border fight war federal agent matt graver re teams mercurial alejandro 
295,I Feel Pretty,comedy romance abbykohn marcsilverstein amyschumer michellewilliams emilyratajkowski tomhopper woman struggling insecurity wakes fall believing beautiful capable woman planet new confidence empowers live fearlessly happens realizes appearance never changed 
296,BlacKkKlansman,biography crime drama spikelee johndavidwashington adamdriver lauraharrier tophergrace ron stallworth african american police officer colorado springs co successfully manages infiltrate local ku klux klan branch help jewish surrogate eventually becomes leader based actual events 
297,Red Sparrow,action drama thriller francislawrence jenniferlawrence joeledgerton matthiasschoenaerts charlotterampling ballerina dominika egorova recruited sparrow school russian intelligence service forced use body weapon first mission targeting i agent threatens unravel security nations 
298,12 Strong,action drama history nicolaifuglsig chrishemsworth michaelshannon michaelpe navidnegahban strong tells story first special forces team deployed afghanistan leadership new captain team must work afghan warlord take taliban 
299,Den of Thieves,action crime drama christiangudegast gerardbutler pabloschreiber sheajacksonjr cent elite unit la county sheriff dept state successful bank robbery crew clash outlaws plan seemingly impossible heist federal reserve bank 
300,First Man,biography drama history damienchazelle ryangosling clairefoy jasonclarke kylechandler look life astronaut neil armstrong legendary space mission led become first man walk moon july 
301,Hereditary,drama horror mystery ariaster tonicollette millyshapiro gabrielbyrne alexwolff grieving family haunted tragic disturbing occurrences 
302,Uncle Drew,comedy sport charlesstoneiii kyrieirving lilrelhowery shaquilleo neal chriswebber anti ageist comedy man dream win rucker classic street ball tournament harlem 
303,Widows,crime drama thriller stevemcqueen violadavis michellerodriguez elizabethdebicki set contemporary chicago amid time turmoil four women nothing common except debt left behind dead husbands criminal activities take fate hands conspire forge future terms 
304,Blumhouse's Truth or Dare,horror thriller jeffwadlow lucyhale tylerposey violettbeane haydenszeto harmless game truth dare among friends turns deadly someone something begins punish tell lie refuse dare 
305,"Love, Simon",comedy drama romance gregberlanti nickrobinson jennifergarner joshduhamel katherinelangford simon spier keeps huge secret family friends classmates he gay secret threatened simon must face everyone come terms identity 
306,The Commuter,action mystery thriller jaumecollet serra liamneeson verafarmiga patrickwilson jonathanbanks insurance salesman ex cop caught criminal conspiracy daily commute home 
307,Mile 22,action thriller peterberg markwahlberg laurencohan ikouwais johnmalkovich small team elite american intelligence officers part top secret tactical command unit try smuggle mysterious police officer sensitive information indonesia 
308,Alpha,adventure drama family alberthughes kodismit mcphee hanneshaukurj hannesson marcinkowalczyk jenshult prehistoric past young man struggles return home separated tribe buffalo hunt finds similarly lost wolf companion starts friendship would change humanity 
309,Death Wish,action crime drama eliroth brucewillis vincentd onofrio elisabethshue camilamorrone dr paul kersey experienced trauma surgeon man spent life saving lives attack family paul embarks mission justice 
310,The Spy Who Dumped Me,action adventure comedy susannafogel justintheroux blankagy rfi th vilmasz csi milakunis audrey morgan best friends unwittingly become entangled international conspiracy one women discovers boyfriend dumped actually spy 
311,Annihilation,adventure drama horror alexgarland natalieportman jenniferjasonleigh tessathompson benedictwong biologist signs dangerous secret expedition mysterious zone laws nature apply 
312,Isle of Dogs,animation adventure comedy wesanderson bryancranston koyurankin edwardnorton bobbalaban set japan isle dogs follows boy odyssey search lost dog 
313,Adrift,action adventure biography baltasarkorm kur shailenewoodley samclaflin jeffreythomas elizabethhawthorne true story survival young couple chance encounter leads first love adventure lifetime face one catastrophic hurricanes recorded history 
314,Robin Hood,action adventure thriller ottobathurst taronegerton jamiefoxx benmendelsohn evehewson war hardened crusader moorish commander mount audacious revolt corrupt english crown 
315,Super Troopers 2,comedy crime mystery jaychandrasekhar jaychandrasekhar kevinheffernan stevelemme paulsoter border dispute arises s canada super troopers tasked establishing highway patrol station disputed area 
316,Slender Man,horror mystery thriller sylvainwhite joeyking juliagoldanitelles jazsinclair annalisebasso small town massachusetts group friends fascinated internet lore slender man attempt prove actually exist one mysteriously goes missing 
317,Searching,drama mystery thriller aneeshchaganty johncho debramessing josephlee michellela year old daughter goes missing desperate father breaks laptop look clues find her 
318,Overlord,action adventure horror juliusavery jovanadepo wyattrussell mathildeollivier pilouasb small group american soldiers find horror behind enemy lines eve day 
319,The Happytime Murders,action comedy crime brianhenson melissamccarthy elizabethbanks mayarudolph lesliedavidbaker puppet cast children tv show begin get murdered one one disgraced lapd detective turned private eye puppet takes case 
320,Bad Times at the El Royale,crime drama mystery drewgoddard jeffbridges cynthiaerivo dakotajohnson jonhamm early four strangers check el royale hotel hotel deserted staffed single desk clerk new guests reasons less innocent appear be 
321,The Girl in the Spider's Web,action crime drama fedealvarez clairefoy beaugadsdon sverrirgudnason lakeithstanfield young computer hacker lisbeth salander journalist mikael blomkvist find caught web spies cybercriminals corrupt government officials 
322,Upgrade,action horror sci fi leighwhannell loganmarshall green melanievallejo stevedanielsen abbycraden set near future technology controls nearly aspects life grey self identified technophobe world turned upside down hope revenge experimental computer chip implant called stem 
323,Tully,comedy drama mystery jasonreitman charlizetheron mackenziedavis ronlivingston ashermilesfallica struggling mother three forms unexpected bond night nanny hired help newborn baby 
324,Hotel Artemis,action crime drama drewpearce jodiefoster sofiaboutella davebautista sterlingk brown set riot torn near future los angeles hotel artemis follows nurse runs secret members only emergency room criminals 
325,Suspiria,fantasy horror mystery lucaguadagnino chlo gracemoretz tildaswinton dorishick malgorzatabela darkness swirls center world renowned dance company one engulf artistic director ambitious young dancer grieving psychotherapist succumb nightmare others finally wake up 
326,Mandy,action fantasy horror panoscosmatos nicolascage andreariseborough linusroache neddennehy enchanted lives couple secluded forest brutally shattered nightmarish hippie cult demon biker henchmen propelling man spiraling surreal rampage vengeance 
327,Star Wars: Episode VIII - The Last Jedi,action adventure fantasy rianjohnson daisyridley johnboyega markhamill carriefisher rey develops newly discovered abilities guidance luke skywalker unsettled strength powers meanwhile resistance prepares battle first order 
328,Beauty and the Beast,family fantasy musical billcondon emmawatson danstevens lukeevans joshgad selfish prince cursed become monster rest life unless learns fall love beautiful young woman keeps prisoner 
329,Wonder Woman,action adventure fantasy pattyjenkins galgadot chrispine robinwright lucydavis pilot crashes tells conflict outside world diana amazonian warrior training leaves home fight war discovering full powers true destiny 
330,Guardians of the Galaxy Vol. 2,action adventure comedy jamesgunn chrispratt zoesaldana davebautista vindiesel guardians struggle keep together team dealing personal family issues notably star lord encounter father ambitious celestial ego 
